metabolite,mean_c0,mean_c1,log2fc,effect_size,p_value
"Disulfide, dimethyl",0.35386864058799605,0.0,-28.3986386807096,-0.7098094917677709,0.11764705882352941
"Butanal, 2-methyl-",0.03241459744994696,0.0,-24.950140365223326,-0.057104533249005766,0.11764705882352941
"Disulfide, dimethyl",-0.0037877093709148962,-11.90935352120762,11.618482223654075,-10.775293270592718,0.11764705882352941
Phenol,-0.007357404915603188,-11.63887094599382,10.627466696348966,-16.037985973675237,0.11764705882352941
cis-Calamenene,-0.00700658096469392,-7.611066177611732,10.08517243762529,-8.536267506452491,0.11764705882352941
cis-Calamenene,-0.011613303202389264,-8.638404780478698,9.5388428540008,-9.02315656716398,0.11764705882352941
Dimethyl trisulfide,-0.014792846113027933,-6.231671263002856,8.718575765843289,-11.919841548857166,0.11764705882352941
"Butanal, 3-methyl-",0.00043469543815342904,0.1760344145291854,8.661633520137054,0.1444515682846584,0.11764705882352941
2-Butanone,-0.018736174546226003,-7.209260414485701,8.587881108888745,-3.130890768652651,0.11764705882352941
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",-0.033388338510407886,-10.231280980426597,8.259426809960747,-11.598327787231359,0.11764705882352941
"Benzeneacetaldehyde, α-ethylidene-",-0.01914601649969122,-5.725899249693362,8.224314292692835,-2.9878963177821785,0.11764705882352941
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",-0.0316873820974803,-8.369556552402281,8.045098946896104,-10.101013046327525,0.11764705882352941
n-Tridecan-1-ol,-0.025426107179399526,-6.578213486781368,8.015241478311458,-10.885546370763572,0.11764705882352941
Caryophyllene oxide,-0.04586073096215201,-10.269759210145162,7.806927322051317,-13.607838296817619,0.11764705882352941
"Phenol, 4-ethyl-",-0.06650037391845937,-14.105766935124349,7.728706961481999,-23.30030157577718,0.11764705882352941
"Heptane, 2,2-dimethyl-",-0.006749924766157406,-1.3327653908726809,7.625335917697733,-2.501829789857778,0.11764705882352941
γ-Muurolene,-0.042419826483241746,-7.92432359409323,7.5454052986859805,-8.549665909156216,0.11764705882352941
α-Cubebene,-0.02354542402432691,-4.354770440522326,7.5310062165729885,-4.6446342028245935,0.11764705882352941
Caryophyllene,-0.04233834396798228,-5.690326039195411,7.070402700209163,-5.690450422591162,0.11764705882352941
"5,9-Undecadien-2-one, 6,10-dimethyl-",-0.05340856617305384,-6.884199850856837,7.010074042928975,-10.618950303595387,0.11764705882352941
Methyl salicylate,-0.049369486356259665,-6.23112327103532,6.979728841702614,-8.691160580582498,0.11764705882352941
2-Undecanol,-0.05774757583770465,-6.379190424809209,6.787469174005659,-10.107074157630644,0.11764705882352941
Nonanoic acid,-0.15902888142648655,-16.690530315222887,6.713597194657272,-25.694033823533502,0.11764705882352941
p-Cresol,-0.23971341155511164,-24.780151866248502,6.6917305972969245,-42.2775732679866,0.11764705882352941
α-Cubebene,-0.07460458315275159,-7.586328468168279,6.667993785130898,-6.1976063162182715,0.11764705882352941
"Naphthalene, 1,2,3,5,6,7,8,8a-octahydro-1,8a-dimethyl-7-(1-methylethenyl)-, [1S-(1α,7α,8aα)]-",-0.06557404568385222,-6.6543176286257815,6.665022036443178,-10.136637676352706,0.11764705882352941
2-Nonanone,-0.10633137361558276,-9.979738378807143,6.552362769548468,-18.005983719516287,0.11764705882352941
"5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",-0.060667416812950625,-5.6914524001445095,6.551731190286253,-8.979662164512343,0.11764705882352941
Erucin,-0.07264633070906495,-6.206806369482307,6.416817418348147,-12.539802198511216,0.11764705882352941
Hexadecane,-0.10585325389198809,-8.87757339119259,6.390027872489261,-15.631843599028919,0.11764705882352941
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",-0.4895712178300482,-40.448250479229706,6.368414751690076,-16.915336775236415,0.11764705882352941
2-Tridecanol,-0.10039630182209236,-8.143393180534336,6.34185204206108,-13.014590951676627,0.11764705882352941
"5,9-Undecadien-2-one, 6,10-dimethyl-",-0.06633731382508354,-5.3348877790013605,6.329493540353573,-8.081040453739075,0.11764705882352941
"2,4-Di-tert-butylphenol",-0.1300464023367996,-10.426273048320692,6.325053259815312,-12.596314495042229,0.11764705882352941
Hexadecane,-0.10928410795863414,-8.602308865653681,6.298568419800184,-15.074675462815765,0.11764705882352941
Benzaldehyde,-0.1300859146358304,-10.208000827484303,6.294091792638288,-19.56355500448138,0.11764705882352941
