metabolite,mean_c0,mean_c1,log2fc,effect_size,p_value,p_adjusted,significant
"2,3-Pentanedione",-2.515750134775025e-05,-0.48354443354148174,-14.230429550849369,12.953938232574012,0.11191674861732909,0.16219135987137773,False
2-Butyl-3-(4-β-diethylaminoethoxybenzoyl)benzofuran,-2.34801431466649,-0.006813420120034791,8.428846532605853,-1.64931966340699,0.2229696925824257,0.2797776155014507,False
Acetic acid ethenyl ester,-1.1704415329250528,-0.007423907804585038,7.3006585528993995,-1.586454631217338,0.22537265553943836,0.2797776155014507,False
D-Limonene,-0.6902848096640948,-0.0052076666441895885,7.050411100623502,-2.198398747680917,0.017166890396275624,0.03712839085706123,True
"Benzenepropionic acid, 2-tetradecyl ester",-0.8450015009908813,-0.011473341206064547,6.202596536404705,-833528159.7848167,0.01770206332656438,0.03761368445980446,True
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.8665937661164687,0.027414686841004048,4.982334908709596,28.786273900680218,0.009209681603968142,0.035508779449592756,True
"Hexanoic acid, 2-ethyl-",-0.8546687582662106,-0.030322818977808096,4.8168896468648805,-2.1981928292078727,0.03744058509340718,0.0639339572744416,False
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",-1.0125083881265284,-0.03870723548221726,4.709186813399669,-12.01158705359276,0.009209681603968142,0.035508779449592756,True
Hexanal,0.4344299400111116,0.01662616844051379,4.707595812816395,0.7879637044405311,0.19037680243463959,0.2470471064151835,False
2-Pentanone,0.7718875679934214,0.030545164465969943,4.659374763066323,11.08136271083896,0.0721686166513333,0.11186135580956662,False
"2-Butenal, (Z)-",0.5666218710394753,0.02408295008471952,4.556302198437192,1.1251337631187828,0.3468891508743845,0.38253783831602084,False
N-Dimethylaminomethyl-tert.-butyl-isopropylphosphine,-2.676682069794407,-0.11711491269866629,4.514449104264493,-1.6492614007989066,0.07891464219409512,0.12097354490193701,False
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.892051041711833,0.04210730918863077,4.404983638464362,28.1668385892178,0.009209681603968142,0.035508779449592756,True
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",-0.8888500008771718,-0.043418513131981015,4.355557780399061,-8.29279377181958,0.009209681603968142,0.035508779449592756,True
"Benzene, 1-methyl-3-(1-methylethyl)-",0.20559702974627825,0.010451383528585162,4.298053450590571,0.8132294718192903,0.2598891720988477,0.3085492724067171,False
Methional,-1.007373229590364,-0.05307946172915612,4.246300772655903,-7.228410922267752,0.01447981019775965,0.035508779449592756,True
"2,6-Diphenylpyridine",-2.274486955109827,-0.1464851290253062,3.9567150528431285,-0.6342039694947813,0.06825659521097147,0.10638877130648626,False
"1,3-Dioxolane",-0.6567274201172212,-0.046094964509873756,3.832613659972098,-0.2956691627928042,0.6472646670780331,0.6788979026871099,False
"Butanal, 3-methyl-",1.0211671007056924,0.0765251115981709,3.738141892469159,2.981808844257662,0.012619651968786677,0.035508779449592756,True
trans-β-Ocimene,-2.931454438751007,-0.219991247908297,3.7360986062329173,-0.4315373700572082,0.9692332344763441,0.9692332344763441,False
Benzeneacetaldehyde,-0.970509375503964,-0.07549935157061562,3.684206008676468,-895010023.9333483,0.007741877024846629,0.035508779449592756,True
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",-2.9993281525920223,-0.23805890169137328,3.65524889837155,-0.4315528428266368,0.6513227395137708,0.6805956716267493,False
Hexanal,-0.501195116881391,-0.04374124369871666,3.5183062423679075,-0.5265906361512115,0.19037680243463959,0.2470471064151835,False
p-Cresol,-1.8450226905994218,-0.18642021449239815,3.3070083536633157,-1.2566822255260586,0.008127515489292213,0.035508779449592756,True
Benzeneacetaldehyde,-0.9454540309902064,-0.10000647265791848,3.2409139496755874,-22.465035688046047,0.007741877024846629,0.035508779449592756,True
"2,3-Pentanedione",0.6351481883341827,0.0841035298960628,2.9168549578032343,6.261159009895042,0.11191674861732909,0.16219135987137773,False
Benzeneacetaldehyde,-0.9325401816029116,-0.12596020859868853,2.88819784815039,-8.549817546032552,0.007741877024846629,0.035508779449592756,True
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",-0.7682161901304969,-0.11688662308509949,2.7164025471651705,-1.667789390349652,0.009209681603968142,0.035508779449592756,True
Isobutylene epoxide,-0.6996433449023576,-0.109454150324656,2.6762930220004506,-1.3629835583013017,0.2523917772050355,0.30092865743677305,False
"2,3-Pentanedione",0.6561837172399361,0.10766768233410762,2.6075145098707484,6.048903271113085,0.11191674861732909,0.16219135987137773,False
"Butanal, 3-methyl-",-2.831906590492815,-0.49028775995925356,2.530073031533493,-1.1816511868472581,0.012619651968786677,0.035508779449592756,True
"2,3-Pentanedione",0.6770048049791388,0.13370879958783358,2.34007164997184,6.20750383521323,0.11191674861732909,0.16219135987137773,False
"2,3-Pentanedione",0.7117575745724448,0.14320106272156272,2.313343734111639,6.784690188918451,0.11191674861732909,0.16219135987137773,False
"Disulfide, dimethyl",0.793897028514895,0.159780034664483,2.3128647418414485,7.178730027291275,0.052209020108926196,0.08568421535523771,False
"Butanal, 2-methyl-",0.9152312375616369,0.18903536677484326,2.275480112572895,10.209978005936074,0.010409879206759102,0.035508779449592756,True
"Disulfide, dimethyl",0.8170341444278948,0.17417358864171734,2.229870491412131,7.634502437731353,0.052209020108926196,0.08568421535523771,False
"Butanal, 2-methyl-",0.9148305818235192,0.2044287838877822,2.16190624458984,9.895113814162935,0.010409879206759102,0.035508779449592756,True
"1,3,5-Cycloheptatriene, 3,7,7-trimethyl-",-0.2588464611266227,-0.09188590439637653,1.4941811349765575,-0.23779841297869567,0.1753011371844201,0.23401443671987185,False
"Butanal, 3-methyl-",0.19946254979754852,0.0884732910123173,1.1728039944647282,0.09483385931581029,0.012619651968786677,0.035508779449592756,True
Octanal,0.15929911939609548,0.35341972369519653,-1.1496442595977983,-0.36798111962925023,0.06297609934801505,0.10040189553197829,False
Methional,-1.429155474208221,-0.7107522685666883,1.007744169343409,-0.2384081068069303,0.01447981019775965,0.035508779449592756,True
3-Carene,-0.08706233463731977,-0.1622059478598221,-0.8977061171304115,0.12128870842571991,0.05283594696110153,0.08620601872600776,False
"Butanal, 2-methyl-",0.17387131862608468,0.2789301364544655,-0.681883843854102,-0.25651476522077526,0.010409879206759102,0.035508779449592756,True
2-Propenal,-4.247529368043056,0.11328663029872729,,-1.6981575025565825,0.02067665485337118,0.04210793214664641,True
2-Propenal,-1.7563293615998163,0.022088818186866123,,-2.130897954075171,0.02067665485337118,0.04210793214664641,True
2-Propenal,-1.3137905638870344,0.025005862181219272,,-2.3689426198325494,0.02067665485337118,0.04210793214664641,True
Acetone,-4.257668132134366,0.014946019822129059,,-1.4557470346666195,0.22537265553943836,0.2797776155014507,False
Acetone,-1.167301886356272,0.0191789808719304,,-1.5585655899755222,0.22537265553943836,0.2797776155014507,False
2-Furancarbonyl chloride,1.1685289980019564,-0.43159973048730454,,2.4656002906447716,0.027910564665032212,0.05401462196494574,False
"1,3-Dioxolane, 2-ethyl-",-0.36628048367003563,0.12218736769329194,,-0.46421055094474273,0.43117122240815187,0.46808082121351896,False
"Propanal, 2-methyl-",-3.0539618586769794,0.03205308099764111,,-1.6880820237924274,0.01520356403688199,0.035508779449592756,True
"Propanal, 2-methyl-",-3.531001220323019,0.02752514265311229,,-1.7783272248860518,0.01520356403688199,0.035508779449592756,True
"Propane, 2-methoxy-2-methyl-",-2.0618472823092584,0.08322935203602641,,-1.636846777136908,0.03434667715250652,0.06103645175509121,False
"Propane, 2-methoxy-2-methyl-",-2.0316180411245828,0.09692370514348393,,-1.4848092321324582,0.03434667715250652,0.06103645175509121,False
Tolycaine,-2.1861659996632694,0.025159680459222282,,-1.6564221685194058,0.22722046249911806,0.2797776155014507,False
"Heptane, 2,2-dimethyl-",-0.41213869069045583,0.2461783269864561,,-1.1544730636914378,0.22792241341036018,0.2797776155014507,False
n-Hexane,-0.5430920416687379,0.17060248525849706,,-1.2634652947353076,0.06392786120670756,0.10076764563091191,False
"Pentane, 3-methyl-",-1.5973114203807954,0.14887612232591763,,-1.5524421836741156,0.22551051549750983,0.2797776155014507,False
"Propanal, 2-methyl-",0.454285393134536,-0.2456529238704114,,2.6248888579470333,0.01520356403688199,0.035508779449592756,True
"Propane, 2-methoxy-2-methyl-",1.0812328327826752,-0.20029121478646505,,1.775508810361651,0.03434667715250652,0.06103645175509121,False
2-Butanone,0.43050029974161363,-0.21958526703209308,,1.1205132009164125,0.010409879206759102,0.035508779449592756,True
