metabolite,importance
2-Nonanone,0.017273813523387447
Phenylethyl Alcohol,0.014732656312845711
p-Cresol,0.014571752807939113
n-Decanoic acid,0.014260210034792463
"Dodecane, 2,6,10-trimethyl-",0.012787438076524573
Indole,0.012626786104711137
Benzeneacetic acid,0.012121954023563244
Phenylethyl Alcohol,0.012043820025769961
"Dodecane, 2,6,10-trimethyl-",0.01157508099103163
Dimethyl sulfone,0.01137684911788986
"Benzeneacetaldehyde, α-ethylidene-",0.011375707622117226
Benzeneacetaldehyde,0.010899125078623019
"1-Hexanol, 2-ethyl-",0.010825710345047333
2-Propenal,0.010546240997265734
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.01045060047293726
Benzeneacetaldehyde,0.010284346222628448
"Tetradecane, 3-methyl-",0.010059494365632035
3-Carene,0.009960779493252967
"Propanal, 2-methyl-",0.009716571183053309
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.00967625530367935
D-Limonene,0.009394319126103612
Dimethyl sulfone,0.009357071474231997
2-Hexadecanone,0.009018036072144289
cis-Calamenene,0.008931068871229195
"5,9-Undecadien-2-one, 6,10-dimethyl-",0.008921115359911715
Humulene,0.008919548966991745
"Benzeneacetaldehyde, α-ethylidene-",0.008805733992194456
Benzeneacetaldehyde,0.008784082154331813
3-Carene,0.00866982486778696
cis-Calamenene,0.008171489321816376
2-Dodecanone,0.007960434326209354
Octanal,0.007914471323034066
"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, octahydro-7-methyl-3-methylene-4-(1-methylethyl)-, [3aS-(3aα,3bβ,4β,7α,7aS*)]-",0.007736515432322534
"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",0.00770357920141358
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.007536638261721097
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.007516836993986408
"4,8,12-Tetradecatrien-1-ol, 5,9,13-trimethyl-",0.007389527979919666
Phenol,0.007376247859502551
"5-Hepten-2-one, 6-methyl-",0.007263380453626541
"5,9-Undecadien-2-one, 6,10-dimethyl-",0.007239717518893842
Caryophyllene,0.007113254949720745
.alfa.-Copaene,0.007062873024531887
1-Pentadecene,0.0070140280561122245
α-Cubebene,0.006990374828907149
trans-β-Ionone,0.006958541355826018
α-acorenol,0.006927071767032062
1-Pentadecene,0.006927071767032062
α-Cubebene,0.00692505943989224
p-Cresol,0.006906397369416856
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0.006691755449748676
"Caryophylla-4(12),8(13)-dien-5α-ol",0.006654151347844116
"Hexanoic acid, 2-ethyl-",0.0065509169599703605
"1-Naphthalenamine, N-phenyl-",0.006499378087645105
"cis-Muurola-4(15),5-diene",0.006421460910690795
Tridecane,0.006418688285531974
α-Cubebene,0.006375600405666066
"1,2,4-Metheno-1H-indene, octahydro-1,7a-dimethyl-5-(1-methylethyl)-, [1S-(1α,2α,3aβ,4α,5α,7aβ,8S*)]-",0.006336482488787097
n-Decanoic acid,0.00626322188466163
"Phenol, 4-ethyl-",0.006097712376627737
"Benzeneacetaldehyde, α-ethylidene-",0.006055871219349279
Dodecanoic acid,0.006029633526823174
"2(3H)-Furanone, 5-heptyldihydro-",0.006025055088203452
Methional,0.006012024048096192
"Indole, 3-methyl-",0.006012024048096192
Hexadecane,0.006012024048096192
Methional,0.006012024048096192
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",0.005962164288162078
"1,3,5-Cycloheptatriene, 3,7,7-trimethyl-",0.005862164729583382
"Propanal, 2-methyl-",0.005798423098617728
2-Butanone,0.00576783819740321
2-Undecanol,0.005723937503120794
β-Bisabolene,0.005717978437469095
γ-Dodecalactone,0.005699365278013853
Methyl salicylate,0.005654758076061993
2-Tetradecanone,0.005596139300888954
Pentadecane,0.0055055565676808155
2-Tridecanone,0.005465971158924907
"Butanal, 2-methyl-",0.0054535895765349535
"Benzenepropionic acid, 2-tetradecyl ester",0.0052779783145646885
"2,4-Di-tert-butylphenol",0.005239530356159388
"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1α,2β,5α)-(ñ)-",0.00516985032642799
Pentadecane,0.004993179636584092
Octanal,0.0049250165476294044
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.004864192295561896
2-Tridecanol,0.004856467175879952
"Butanal, 2-methyl-",0.004814157214116508
Methional,0.004792193081815805
2-Dodecanone,0.004792193081815805
Nonanoic acid,0.004752714750513482
Caryophyllene oxide,0.004731387909508857
"Benzene, 1-methyl-3-(1-methylethyl)-",0.004729702343083931
Phenol,0.004498207115108646
"9-Octadecene, (E)-",0.00444568227573266
2-Butanone,0.004267136747366293
Heptanal,0.004183221582867913
Erucin,0.004170245252409581
2-Hexadecanone,0.0041403388190420195
"Sulfurous acid, di(2-ethylhexyl) ester",0.004107928087522835
"Butanal, 3-methyl-",0.004086608231264875
"1-Penten-3-one, 2-methyl-",0.0040533447848077105
"Pentadecafluorooctanoic acid, pentadecyl ester",0.004008016032064128
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0.004008016032064128
"5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",0.004008016032064128
"5-Hepten-2-one, 6-methyl-",0.004008016032064128
γ-Dodecalactone,0.004008016032064128
1-Pentadecene,0.003944542771407405
"Butanal, 3-methyl-",0.003921059742983965
"1-Octanol, 2-butyl-",0.0038523472524139616
Dodecane,0.0038340474263224593
2-Pentadecanone,0.0038183525177128102
"Butanal, 3-methyl-",0.0037937016249744732
"(1R,3E,7E,11R)-1,5,5,8-Tetramethyl-12-oxabicyclo[9.1.0]dodeca-3,7-diene",0.0037845317855694366
2-Furancarbonyl chloride,0.003684710903855074
p-Cresol,0.0036781542078038656
Octadecane,0.0036648432829301035
Methional,0.00355142336776975
"Methylamine, N,N-dimethyl-",0.003550594679947072
Acetic acid ethenyl ester,0.003465904140296403
"Tetradecane, 2-methyl-",0.0034463332258923445
"2,3-Pentanedione",0.003428158408464154
"Butanal, 2-methyl-",0.003413243993741569
3-Carene,0.0032724100441583093
"Disulfide, dimethyl",0.003250197874741079
"cis-muurola-4(14),5-diene",0.003223838982312451
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",0.003211513388476171
"Dodecane, 2,6,11-trimethyl-",0.0032021221837170875
"Benzeneacetaldehyde, α-ethylidene-",0.0031839492564880666
"Butanal, 2-methyl-",0.003168241244393549
Octanal,0.003087968654395626
Octanal,0.0030555525449095667
2-Propenal,0.003006012024048096
γ-Muurolene,0.003006012024048096
Heptadecane,0.003006012024048096
1-Heptanol,0.002917043407828111
8-Heptadecene,0.002914613479417668
"Butanal, 3-methyl-",0.002864958221083909
"2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",0.002791697616958441
"Butanal, 2-methyl-",0.0027618261733551135
trans-Geranylgeraniol,0.0027548666118108233
Tetradecane,0.0026658979955908385
1-Pentadecene,0.002613812808846636
"Propane, 2-methoxy-2-methyl-",0.0025783743722424825
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.002472041015874574
"Butanal, 2-methyl-",0.002451022735125423
2-Tetradecanone,0.002451022735125423
"Butanal, 2-methyl-",0.0024141328247572077
Germacrene D,0.0023320630699070442
"Indole-3-propionitrile, α-formamido-",0.002320322079448964
"Butanal, 3-methyl-",0.002268843077733586
"5-Thiazoleethanol, 4-methyl-",0.002225313773230813
2-Tetradecanone,0.00221932852134336
2-Pentanone,0.002130062678769229
"Nonane, 2,2,4,4,6,8,8-heptamethyl-",0.002092976632252049
"Benzeneacetaldehyde, α-ethylidene-",0.0020135265049646242
Methional,0.002004008016032064
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",0.002004008016032064
"2,3-Pentanedione",0.002004008016032064
2-Tetradecanone,0.002004008016032064
"2,3-Pentanedione",0.002004008016032064
"Propanal, 2-methyl-",0.002004008016032064
"Disulfide, dimethyl",0.002004008016032064
Hexanal,0.002004008016032064
.alfa.-Copaene,0.002004008016032064
"Acetic acid, trifluoro-, 3,7-dimethyloctyl ester",0.002004008016032064
(Z)-1-Methyl-4-(6-methylhept-5-en-2-ylidene)cyclohex-1-ene,0.002004008016032064
"Acetic acid, methoxy-",0.002004008016032064
"1-Hexanol, 2-ethyl-",0.002004008016032064
"Propane, 1,3-dimethoxy-",0.0019776491236034362
α-Cubebene,0.0019405347553753402
"1H-Cyclopropa[a]naphthalene, 1a,2,3,5,6,7,7a,7b-octahydro-1,1,7,7a-tetramethyl-, [1aR-(1aα,7α,7aα,7bα)]-",0.0018487907815590665
2-Butanone,0.0018300954378717383
N-Dimethylaminomethyl-tert.-butyl-isopropylphosphine,0.0017861810577677092
n-Hexane,0.0017627668556737218
"Butanal, 2-methyl-",0.0016992247686875462
Acetone,0.0015156363146460988
"3-Dodecene, (E)-",0.0014973523112671119
Dimethyl trisulfide,0.0014589178356713426
3-Carene,0.001452179721762365
"Butanal, 3-methyl-",0.0014214188732961347
Hydrocinnamic acid,0.001420848661341918
n-Tridecan-1-ol,0.0014125875385967825
2-Butanone,0.0013768713898385007
"Butanal, 2-methyl-",0.0013590205621326688
Benzeneacetaldehyde,0.0012907535501109745
Benzaldehyde,0.001285073655525444
"2-Butenal, (E)-",0.0012678829947111144
"2-Propanethiol, 2-methyl-",0.0012669208308192699
Nonanal,0.0012163184151056873
"2,3-Pentanedione",0.0012024048096192384
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",0.0011642332283614846
"4-Methylcatechol, 2TMS derivative",0.0011642332283614846
Nonanal,0.001106569775823176
Benzaldehyde,0.001106569775823176
"Propane, 2-methoxy-2-methyl-",0.001090972624236017
"1-Hexanol, 2-ethyl-",0.0010889602970961948
Hexadecane,0.0010790812394018809
"Disulfide, dimethyl",0.0010753683602184342
"2H-Indol-2-one, 1,3-dihydro-",0.0010020040080160322
"2,3-Pentanedione",0.0010020040080160322
"Benzeneacetaldehyde, α-ethylidene-",0.001002004008016032
Hexanal,0.0009425485039061867
"2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",0.0009150477189358692
2-Pentanone,0.0009150477189358692
"Propane, 2-methoxy-2-methyl-",0.000913035391796047
2-Butyl-3-(4-β-diethylaminoethoxybenzoyl)benzofuran,0.000913035391796047
"Disulfide, dimethyl",0.0008948592658067683
