metabolite,importance
2-Propenal,0.06627198
cis-Calamenene,0.058467098
Methional,0.057455316
N-Dimethylaminomethyl-tert.-butyl-isopropylphosphine,0.05645447
"Propanal, 2-methyl-",0.050548185
2-Propenal,0.047624078
2-Propenal,0.042129636
2-Furancarbonyl chloride,0.039883345
2-Butanone,0.039663408
"Butanal, 2-methyl-",0.0389972
Benzeneacetaldehyde,0.038836095
"1-Hexanol, 2-ethyl-",0.03849798
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.037675567
"Butanal, 2-methyl-",0.034226846
Dimethyl sulfone,0.03179401
"Butanal, 3-methyl-",0.028724413
3-Carene,0.026244137
"Propanal, 2-methyl-",0.025446985
"Propane, 1,3-dimethoxy-",0.024636192
"Disulfide, dimethyl",0.02410864
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.02255096
"Dodecane, 2,6,10-trimethyl-",0.018850021
"Propane, 2-methoxy-2-methyl-",0.011966643
cis-Calamenene,0.0116187325
"Dodecane, 2,6,10-trimethyl-",0.0102906665
"1-Hexanol, 2-ethyl-",0.010253664
"Benzeneacetaldehyde, α-ethylidene-",0.010145036
α-Cubebene,0.01010765
D-Limonene,0.009940052
"Butanal, 2-methyl-",0.009584236
α-Cubebene,0.009536562
Nonanal,0.009064089
Octanal,0.008449469
"Butanal, 2-methyl-",0.008326027
Tolycaine,0.007505143
"Methylamine, N,N-dimethyl-",0.006292734
3-Carene,0.0054973587
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0054550758
"2-Butenal, (Z)-",0.003948574
"Disulfide, dimethyl",0.0009942966
Hexanal,0.0008909088
"Acetic acid, methoxy-",0.0008618783
"1-Penten-3-one, 2-methyl-",0.00018471143
"2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",0.0
"2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",0.0
2-Hexadecanone,0.0
Octadecane,0.0
"Sulfurous acid, di(2-ethylhexyl) ester",0.0
2-Hexadecanone,0.0
"Propane, 2-methoxy-2-methyl-",0.0
"1-Naphthalenamine, N-phenyl-",0.0
"1,3-Dioxolane, 2-ethyl-",0.0
"1,3-Dioxolane",0.0
Caryophyllene oxide,0.0
"Propane, 2-methoxy-2-methyl-",0.0
2-Butanone,0.0
n-Hexane,0.0
Tolycaine,0.0
2-Butanone,0.0
"Caryophylla-4(12),8(13)-dien-5α-ol",0.0
"2,3-Pentanedione",0.0
"Butanal, 2-methyl-",0.0
"Butanal, 3-methyl-",0.0
"Butanal, 3-methyl-",0.0
"Butanal, 2-methyl-",0.0
"Butanal, 2-methyl-",0.0
"Butanal, 3-methyl-",0.0
"Butanal, 2-methyl-",0.0
"Butanal, 3-methyl-",0.0
"Butanal, 3-methyl-",0.0
"Butanal, 3-methyl-",0.0
"Butanal, 3-methyl-",0.0
"2-Butenal, (E)-",0.0
"2-Butenal, (E)-",0.0
"Ethanol, 2-nitro-, propionate (ester)",0.0
"2-Propanethiol, 2-methyl-",0.0
"2,3-Pentanedione",0.0
"2,3-Pentanedione",0.0
"2,3-Pentanedione",0.0
"2,3-Pentanedione",0.0
"2,3-Pentanedione",0.0
2-Pentanone,0.0
2-Pentanone,0.0
2-Pentanone,0.0
2-Pentanone,0.0
2-Pentanone,0.0
"Butanal, 2-methyl-",0.0
"Butanal, 2-methyl-",0.0
"Butanal, 3-methyl-",0.0
"Butanal, 2-methyl-",0.0
Toluene,0.0
Toluene,0.0
Toluene,0.0
"Disulfide, dimethyl",0.0
"Disulfide, dimethyl",0.0
"Disulfide, dimethyl",0.0
"Disulfide, dimethyl",0.0
"Disulfide, dimethyl",0.0
"2,3-Pentanedione",0.0
"2,3-Pentanedione",0.0
"2,3-Pentanedione",0.0
"2,3-Pentanedione",0.0
"Tricyclo[2.2.1.0(2,6)]heptane, 1,3,3-trimethyl-",0.0
Methional,0.0
Methional,0.0
Methional,0.0
Methional,0.0
Heptanal,0.0
Heptanal,0.0
Methional,0.0
Hexanal,0.0
Hexanal,0.0
Hexanal,0.0
Hexanal,0.0
1-Heptanol,0.0
1-Heptanol,0.0
1-Heptanol,0.0
Dimethyl trisulfide,0.0
Dimethyl trisulfide,0.0
Dimethyl trisulfide,0.0
Dimethyl trisulfide,0.0
Benzaldehyde,0.0
Benzaldehyde,0.0
"Bicyclo[3.1.0]hex-2-ene, 4-methyl-1-(1-methylethyl)-",0.0
Dimethyl sulfone,0.0
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",0.0
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",0.0
trans-β-Ocimene,0.0
Dimethyl sulfone,0.0
Octanal,0.0
3-Carene,0.0
3-Carene,0.0
Octanal,0.0
"5-Hepten-2-one, 6-methyl-",0.0
"5-Hepten-2-one, 6-methyl-",0.0
Phenol,0.0
Phenol,0.0
Phenol,0.0
Phenol,0.0
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",0.0
"Cyclohexene, 4-methylene-1-(1-methylethyl)-",0.0
"Cyclohexene, 4-methylene-1-(1-methylethyl)-",0.0
Benzeneacetaldehyde,0.0
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0
"1-Hexanol, 2-ethyl-",0.0
1-Heptanol,0.0
"1-Hexanol, 2-ethyl-",0.0
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0
"(1R,3E,7E,11R)-1,5,5,8-Tetramethyl-12-oxabicyclo[9.1.0]dodeca-3,7-diene",0.0
"9-Octadecene, (E)-",0.0
"1,3,5-Cycloheptatriene, 3,7,7-trimethyl-",0.0
"Benzene, 1-methyl-3-(1-methylethyl)-",0.0
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0
Pentadecane,0.0
Octanal,0.0
Octanal,0.0
"Ethanol, 2-(2-butoxyethoxy)-",0.0
"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1α,2β,5α)-(ñ)-",0.0
"Phenol, 4-ethyl-",0.0
"Hexanoic acid, 2-ethyl-",0.0
Phenylethyl Alcohol,0.0
Phenylethyl Alcohol,0.0
Hexadecane,0.0
Nonanal,0.0
2-Nonanone,0.0
p-Cresol,0.0
p-Cresol,0.0
p-Cresol,0.0
Benzeneacetaldehyde,0.0
Benzeneacetaldehyde,0.0
Benzeneacetaldehyde,0.0
"Benzeneacetaldehyde, α-ethylidene-",0.0
"Benzeneacetaldehyde, α-ethylidene-",0.0
"Benzeneacetaldehyde, α-ethylidene-",0.0
"Benzeneacetaldehyde, α-ethylidene-",0.0
Hexadecane,0.0
"Benzeneacetaldehyde, α-ethylidene-",0.0
"Dodecane, 2,6,11-trimethyl-",0.0
"2-Decenal, (E)-",0.0
"2-Decenal, (E)-",0.0
"2-Decenal, (E)-",0.0
Benzeneacetic acid,0.0
"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",0.0
Decanal,0.0
"3-Dodecene, (E)-",0.0
Dodecane,0.0
Methyl salicylate,0.0
"1,2,4-Metheno-1H-indene, octahydro-1,7a-dimethyl-5-(1-methylethyl)-, [1S-(1α,2α,3aβ,4α,5α,7aβ,8S*)]-",0.0
"4-Methylcatechol, 2TMS derivative",0.0
2-Tetradecanone,0.0
Hydrocinnamic acid,0.0
"Benzenepropionic acid, 2-tetradecyl ester",0.0
2-Tetradecanone,0.0
2-Tetradecanone,0.0
"Nonane, 2,2,4,4,6,8,8-heptamethyl-",0.0
n-Tridecan-1-ol,0.0
"1-Octanol, 2-butyl-",0.0
2-Undecanol,0.0
Tridecane,0.0
Indole,0.0
Nonanoic acid,0.0
"5-Thiazoleethanol, 4-methyl-",0.0
"Benzeneacetaldehyde, α-ethylidene-",0.0
α-Cubebene,0.0
Erucin,0.0
trans-α-Bergamotene,0.0
"1H-Cyclopropa[a]naphthalene, 1a,2,3,5,6,7,7a,7b-octahydro-1,1,7,7a-tetramethyl-, [1aR-(1aα,7α,7aα,7bα)]-",0.0
Caryophyllene,0.0
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0.0
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0.0
Tetradecane,0.0
2-Dodecanone,0.0
α-Cubebene,0.0
"Indole, 3-methyl-",0.0
