metabolite,shap_mean_abs,shap_rank,log2fc,effect_size,p_value,abs_log2fc,fc_rank,p_adjusted,neg_log10_p,pval_rank,combined_score,final_rank,matched_biomarker,Condiciones,Evidencia,Origen_probable,Confianza_origen,Vinculo Microbio.,Volatilidad,Matriz,Flag_contaminante,match_score
Phenol,0.006286890871654,2.0,10.627466696348966,-16.037985973675237,0.1176470588235294,10.627466696348966,4.0,0.1666169005673335,0.7782809486022882,60.5,22.166666666666668,1,Phenol,TDAHAnsied.AutismDepres.Esquiz.,dataset_metabolomics text_mining_claim,Biológico microbiano,Alta,Si,Mixto,blood fecal fecal; plasma fecal; plasma; tissue; bile fecal; serum fecal; serum; bile fecal; serum; tissue fecal; tissue fecal; tissue; bile fecal; urine; serum; bile plasma serum serum; bile serum; tissue tissue tissue; bile unknown urine,No,1.0
cis-Calamenene,0.0049677419354838,7.0,10.08517243762529,-8.536267506452491,0.1176470588235294,10.08517243762529,5.0,0.1666169005673335,0.7782809486022882,60.5,24.166666666666668,2,,Depres.,dataset_metabolomics,Desconocido,Baja,Desconocido,No-volatil,serum tissue,No,0.0
cis-Calamenene,0.0049677419354838,7.0,9.5388428540008,-9.02315656716398,0.1176470588235294,9.5388428540008,6.0,0.1666169005673335,0.7782809486022882,60.5,24.5,3,,Depres.,dataset_metabolomics,Desconocido,Baja,Desconocido,No-volatil,serum tissue,No,0.0
γ-Muurolene,0.0046382978723404,9.0,7.5454052986859805,-8.549665909156216,0.1176470588235294,7.5454052986859805,17.0,0.1666169005673335,0.7782809486022882,60.5,28.833333333333332,4,,Depres.,dataset_metabolomics,Desconocido,Baja,Desconocido,No-volatil,serum tissue,No,0.0
Methyl salicylate,0.0043191489361702,13.0,6.979728841702614,-8.691160580582498,0.1176470588235294,6.979728841702614,21.0,0.1666169005673335,0.7782809486022882,60.5,31.5,5,methyl salicylate,Depres.Esquiz.,dataset_metabolomics,Biológico humano,Baja,Posible,VOC,fecal fecal; urine; serum; bile serum; bile tissue unknown,No,1.0
α-Cubebene,0.004,18.0,7.5310062165729885,-4.6446342028245935,0.1176470588235294,7.5310062165729885,18.0,0.1666169005673335,0.7782809486022882,60.5,32.166666666666664,6,,Depres.,dataset_metabolomics,Desconocido,Baja,Desconocido,No-volatil,serum tissue,No,0.0
Dimethyl trisulfide,0.0033191489361702,32.0,8.718575765843289,-11.919841548857166,0.1176470588235294,8.718575765843289,7.0,0.1666169005673335,0.7782809486022882,60.5,33.166666666666664,7,Dimethyl trisulfide,Esquiz.,dataset_metabolomics,Desconocido,Baja,Si,Mixto,fecal fecal; plasma fecal; serum serum serum; bile,No,1.0
Dimethyl trisulfide,0.0033191489361702,32.0,8.718575765843289,-11.919841548857166,0.1176470588235294,8.718575765843289,7.0,0.1666169005673335,0.7782809486022882,60.5,33.166666666666664,8,Dimethyl trisulfide,Esquiz.,dataset_metabolomics,Desconocido,Baja,Si,Mixto,fecal fecal; plasma fecal; serum serum serum; bile,No,1.0
"5,9-Undecadien-2-one, 6,10-dimethyl-",0.0039677419354838,20.0,7.010074042928975,-10.618950303595389,0.1176470588235294,7.010074042928975,20.0,0.1666169005673335,0.7782809486022882,60.5,33.5,9,,Depres.,dataset_metabolomics,Desconocido,Baja,Desconocido,No-volatil,serum tissue,No,0.0
Humulene,0.0068030199039121,1.0,6.219567609024336,-8.64407609143541,0.1176470588235294,6.219567609024336,41.0,0.1666169005673335,0.7782809486022882,60.5,34.166666666666664,10,,Depres.,dataset_metabolomics,Desconocido,Baja,Desconocido,No-volatil,serum tissue,No,0.0
