metabolite,in_shap_top20,in_fc_top20,in_pval_top20,n_criteria,shap_mean_abs,abs_log2fc,p_adjusted,matched_biomarker,Condiciones,Origen_probable,Confianza_origen,Flag_contaminante,presente_en_bd,notas_interpretacion
p-Cresol,True,True,True,3,0.0056720763133972,3.307008353663316,0.0355087794495927,p-cresol,AutismBipolarDepres.Esquiz.,Biológico microbiano,Alta,No,True,"Top-20 en: SHAP, FC, p-val | Asoc: AutismBipolarDepres.Esquiz. | Conf: Alta"
Benzeneacetaldehyde,True,True,True,3,0.005650331395911,3.684206008676468,0.0355087794495927,Benzeneacetaldehyde,Esquiz.,Ambiente/limpieza,Media,Posible_contaminante,True,"Top-20 en: SHAP, FC, p-val | Asoc: Esquiz. | Conf: Media | POSIBLE CONTAMINANTE"
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",True,True,True,3,0.0051017685764005,4.982334908709596,0.0355087794495927,"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",Esquiz.,Biológico microbiano,Alta,No,True,"Top-20 en: SHAP, FC, p-val | Asoc: Esquiz. | Conf: Alta"
2-Nonanone,True,False,True,2,0.0071150418819331,,0.0355087794495927,,Depres.,Desconocido,Baja,No,False,"Top-20 en: SHAP, p-val | Asoc: Depres. | Conf: Baja"
"Dodecane, 2,6,10-trimethyl-",True,False,True,2,0.0061842433144275,,0.0355087794495927,,Depres.,Desconocido,Baja,No,False,"Top-20 en: SHAP, p-val | Asoc: Depres. | Conf: Baja"
Dimethyl sulfone,True,False,True,2,0.0061338537791966,,0.0355087794495927,dimethyl sulfone,Ansied.Esquiz.,Biológico humano,Baja,No,True,"Top-20 en: SHAP, p-val | Asoc: Ansied.Esquiz. | Conf: Baja"
Phenylethyl Alcohol,True,False,True,2,0.0055710995480143,,0.0355087794495927,Phenylethyl alcohol,Esquiz.,Biológico humano,Baja,No,True,"Top-20 en: SHAP, p-val | Asoc: Esquiz. | Conf: Baja"
Indole,True,False,True,2,0.0054341363194645,,0.0355087794495927,indole,TDAHAnsied.AutismDepres.Esquiz.,Biológico microbiano,Alta,No,True,"Top-20 en: SHAP, p-val | Asoc: TDAHAnsied.AutismDepres.Esquiz. | Conf: Alta"
n-Decanoic acid,True,False,True,2,0.0054336118849687,,0.0355087794495927,,Depres.,Desconocido,Baja,No,False,"Top-20 en: SHAP, p-val | Asoc: Depres. | Conf: Baja"
cis-Calamenene,True,False,True,2,0.0053271904508746,,0.0355087794495927,,Depres.,Desconocido,Baja,No,False,"Top-20 en: SHAP, p-val | Asoc: Depres. | Conf: Baja"
"Benzeneacetaldehyde, α-ethylidene-",True,False,True,2,0.004645847310373,,0.0355087794495927,Benzeneacetaldehyde,Esquiz.,Ambiente/limpieza,Media,Posible_contaminante,True,"Top-20 en: SHAP, p-val | Asoc: Esquiz. | Conf: Media | POSIBLE CONTAMINANTE"
"Tetradecane, 3-methyl-",True,False,True,2,0.0044681307363055,,0.0355087794495927,,Depres.,Desconocido,Baja,No,False,"Top-20 en: SHAP, p-val | Asoc: Depres. | Conf: Baja"
"1-Hexanol, 2-ethyl-",True,False,True,2,0.0043741357581123,,0.0355087794495927,1-Hexanol,Depres.,Biológico humano,Baja,No,True,"Top-20 en: SHAP, p-val | Asoc: Depres. | Conf: Baja"
D-Limonene,True,True,False,2,0.0042851166580378,7.050411100623502,0.0371283908570612,,Depres.,Desconocido,Baja,No,False,"Top-20 en: SHAP, FC | Asoc: Depres. | Conf: Baja"
"Propanal, 2-methyl-",True,False,True,2,0.0042390544261889,,0.0355087794495927,Propanal,Ansied.Esquiz.,Biológico humano,Baja,No,True,"Top-20 en: SHAP, p-val | Asoc: Ansied.Esquiz. | Conf: Baja"
Benzeneacetic acid,True,False,True,2,0.0040392534939859,,0.0355087794495927,"Benzeneacetic acid, 4-(2-(diethylamino)-2-oxoethoxy)-3-ethoxy-, propyl ester",Autism,Biológico microbiano,Alta,No,True,"Top-20 en: SHAP, p-val | Asoc: Autism | Conf: Alta"
Methional,False,True,True,2,0.0019524583175109,4.246300772655903,0.0355087794495927,methional,Esquiz.,Biológico humano,Baja,No,True,"Top-20 en: FC, p-val | Asoc: Esquiz. | Conf: Baja"
"Butanal, 3-methyl-",False,True,True,2,0.0017143649722597,3.738141892469159,0.0355087794495927,Butanal,Depres.Esquiz.,Biológico humano,Baja,No,True,"Top-20 en: FC, p-val | Asoc: Depres.Esquiz. | Conf: Baja"
