metabolite,shap_mean_abs,shap_rank,log2fc,effect_size,p_value,abs_log2fc,fc_rank,p_adjusted,neg_log10_p,pval_rank,combined_score,final_rank
Phenol,0.006286890871654,2.0,10.627466696348966,-16.037985973675237,0.1176470588235294,10.627466696348966,4.0,0.1666169005673335,0.7782809486022882,60.5,22.166666666666668,1
cis-Calamenene,0.0049677419354838,7.0,10.08517243762529,-8.536267506452491,0.1176470588235294,10.08517243762529,5.0,0.1666169005673335,0.7782809486022882,60.5,24.166666666666668,2
cis-Calamenene,0.0049677419354838,7.0,9.5388428540008,-9.02315656716398,0.1176470588235294,9.5388428540008,6.0,0.1666169005673335,0.7782809486022882,60.5,24.5,3
γ-Muurolene,0.0046382978723404,9.0,7.5454052986859805,-8.549665909156216,0.1176470588235294,7.5454052986859805,17.0,0.1666169005673335,0.7782809486022882,60.5,28.833333333333332,4
Methyl salicylate,0.0043191489361702,13.0,6.979728841702614,-8.691160580582498,0.1176470588235294,6.979728841702614,21.0,0.1666169005673335,0.7782809486022882,60.5,31.5,5
α-Cubebene,0.004,18.0,7.5310062165729885,-4.6446342028245935,0.1176470588235294,7.5310062165729885,18.0,0.1666169005673335,0.7782809486022882,60.5,32.166666666666664,6
Dimethyl trisulfide,0.0033191489361702,32.0,8.718575765843289,-11.919841548857166,0.1176470588235294,8.718575765843289,7.0,0.1666169005673335,0.7782809486022882,60.5,33.166666666666664,7
Dimethyl trisulfide,0.0033191489361702,32.0,8.718575765843289,-11.919841548857166,0.1176470588235294,8.718575765843289,7.0,0.1666169005673335,0.7782809486022882,60.5,33.166666666666664,8
"5,9-Undecadien-2-one, 6,10-dimethyl-",0.0039677419354838,20.0,7.010074042928975,-10.618950303595389,0.1176470588235294,7.010074042928975,20.0,0.1666169005673335,0.7782809486022882,60.5,33.5,9
Humulene,0.0068030199039121,1.0,6.219567609024336,-8.64407609143541,0.1176470588235294,6.219567609024336,41.0,0.1666169005673335,0.7782809486022882,60.5,34.166666666666664,10
α-Cubebene,0.004,18.0,6.667993785130898,-6.197606316218272,0.1176470588235294,6.667993785130898,25.0,0.1666169005673335,0.7782809486022882,60.5,34.5,11
p-Cresol,0.0036521739130434,23.0,6.6917305972969245,-42.2775732679866,0.1176470588235294,6.6917305972969245,24.0,0.1666169005673335,0.7782809486022882,60.5,35.833333333333336,12
"Disulfide, dimethyl",0.0025206508135168,48.0,-28.3986386807096,-0.7098094917677709,0.1176470588235294,28.3986386807096,1.0,0.1666169005673335,0.7782809486022882,60.5,36.5,13
"Disulfide, dimethyl",0.0025206508135168,48.0,11.618482223654077,-10.775293270592718,0.1176470588235294,11.618482223654077,3.0,0.1666169005673335,0.7782809486022882,60.5,37.166666666666664,14
Phenol,0.006286890871654,2.0,6.025957633366051,-9.349992303157556,0.1176470588235294,6.025957633366051,49.0,0.1666169005673335,0.7782809486022882,60.5,37.166666666666664,15
"5,9-Undecadien-2-one, 6,10-dimethyl-",0.0039677419354838,20.0,6.329493540353573,-8.081040453739075,0.1176470588235294,6.329493540353573,33.0,0.1666169005673335,0.7782809486022882,60.5,37.833333333333336,16
Pentadecane,0.0043191489361702,13.0,6.090697974581553,-11.951057083777863,0.1176470588235294,6.090697974581553,48.0,0.1666169005673335,0.7782809486022882,60.5,40.5,17
"Benzeneacetaldehyde, α-ethylidene-",0.0024838709677419,53.5,8.224314292692835,-2.9878963177821785,0.1176470588235294,8.224314292692835,11.0,0.1666169005673335,0.7782809486022882,60.5,41.666666666666664,18
"5,9-Undecadien-2-one, 6,10-dimethyl-",0.0026521739130434,46.0,7.010074042928975,-10.618950303595389,0.1176470588235294,7.010074042928975,20.0,0.1666169005673335,0.7782809486022882,60.5,42.166666666666664,19
"Indole, 3-methyl-",0.0049574468085106,8.0,5.808529629891703,-9.12706378978794,0.1176470588235294,5.808529629891703,60.0,0.1666169005673335,0.7782809486022882,60.5,42.833333333333336,20
3-Carene,0.004,18.0,5.954121554768563,-8.496446310895335,0.1176470588235294,5.954121554768563,52.0,0.1666169005673335,0.7782809486022882,60.5,43.5,21
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",0.0033191489361702,32.0,6.235439179021731,-12.07080968695095,0.1176470588235294,6.235439179021731,39.0,0.1666169005673335,0.7782809486022882,60.5,43.833333333333336,22
1-Pentadecene,0.0033191489361702,32.0,6.226542919307403,-13.644830556277933,0.1176470588235294,6.226542919307403,40.0,0.1666169005673335,0.7782809486022882,60.5,44.166666666666664,23
2-Hexadecanone,0.0054838709677419,4.0,5.62803353268266,-11.414193401760484,0.1176470588235294,5.62803353268266,69.0,0.1666169005673335,0.7782809486022882,60.5,44.5,24
2-Hexadecanone,0.0054838709677419,4.0,5.595582751497163,-10.86765487501622,0.1176470588235294,5.595582751497163,72.0,0.1666169005673335,0.7782809486022882,60.5,45.5,25
"Tetradecane, 3-methyl-",0.0036382978723404,24.5,5.934330254754043,-14.600679792023726,0.1176470588235294,5.934330254754043,53.0,0.1666169005673335,0.7782809486022882,60.5,46.0,26
"Butanal, 3-methyl-",0.0023191489361702,70.5,8.661633520137054,0.1444515682846584,0.1176470588235294,8.661633520137054,8.0,0.1666169005673335,0.7782809486022882,60.5,46.333333333333336,27
1-Pentadecene,0.0033191489361702,32.0,6.103199454018753,-14.581525824640266,0.1176470588235294,6.103199454018753,47.0,0.1666169005673335,0.7782809486022882,60.5,46.5,28
"5,9-Undecadien-2-one, 6,10-dimethyl-",0.0026521739130434,46.0,6.329493540353573,-8.081040453739075,0.1176470588235294,6.329493540353573,33.0,0.1666169005673335,0.7782809486022882,60.5,46.5,29
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",0.0023191489361702,70.5,8.259426809960747,-11.59832778723136,0.1176470588235294,8.259426809960747,10.0,0.1666169005673335,0.7782809486022882,60.5,47.0,30
