,Metabolito,Importancia SHAP,|log2FC|,p_ajustado
1,2-Nonanone,0.00712,,0.0355
2,"Dodecane, 2,6,10-trimethyl-",0.00618,,0.0355
3,Dimethyl sulfone,0.00613,,0.0355
4,p-Cresol,0.00567,3.307,0.0355
5,Benzeneacetaldehyde,0.00565,3.684,0.0355
6,Phenylethyl Alcohol,0.00557,,0.0355
7,Indole,0.00543,,0.0355
8,n-Decanoic acid,0.00543,,0.0355
9,cis-Calamenene,0.00533,,0.0355
10,"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0051,4.982,0.0355
11,3-Carene,0.00495,0.898,0.0862
12,"Benzeneacetaldehyde, α-ethylidene-",0.00465,,0.0355
13,"Tetradecane, 3-methyl-",0.00447,,0.0355
14,"1-Hexanol, 2-ethyl-",0.00437,,0.0355
15,D-Limonene,0.00429,7.05,0.0371
