compound_name,hit_match_factor,match_quality,retention_time,Exp_1.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF
2-Propenal,730,Fair,1.415333333333333,-5.8054148604257545,-6.364305173684172,0.11156122056928117,-4.9319586586315785,0.5055751666432885,0.7100276619343934,-0.33946750332206493,0.7718074238924071,-8.210722953932198,-0.17478203639579468,9.654583883662903,0.41533159988397167,0.22904890920652948,-0.5309940917973099,-0.1508793113684306,0.0,0.46900590820269006
N-Dimethylaminomethyl-tert.-butyl-isopropylphosphine,903,Excellent,1.4261,-3.5726993933612565,-3.5726993933612565,0.011369900906141801,-3.5726993933612565,-0.7683845484414279,0.15142110482434817,0.09465361326563133,0.05362163772039163,-3.5726993933612565,0.0,4.598912281377239,-0.07291268535528134,0.23452613903804911,0.18283995079705453,0.028877082546464764,-0.11682339692713299,-0.9053463867343686
2-Propenal,777,Fair,1.62705,-2.231718336326344,-2.154896528803214,-0.3145162686586618,-2.3241863126110456,0.05308374543088195,0.2535452470096681,0.0680615212717504,0.09608590857993456,-6.296275369443792,-0.3721960383736126,-0.9319384787282496,-0.08002692997426648,0.10255044590931758,0.0,0.00042306398465455537,0.06552987899950682,0.129917247610761
2-Propenal,871,Good,1.62705,-1.7359917419458877,-1.7033922033710316,-0.3520110360682025,-1.4637672741630157,0.05932070443091058,0.2757659591607474,0.0654043857489376,0.10543445983163015,-6.874816806874942,-0.39329239013513206,-0.926523143158647,-0.08361856588517359,0.10951406783623883,0.0,0.004502649258153141,0.073476856841353,0.13898495455615797
Acetone,771,Excellent,1.63065,-6.810609490069284,-6.810609490069284,0.3430533547643323,-3.7525069031632308,0.08664675708438288,0.0,-0.14689284318622928,-0.09531364456934711,3.9379116599617396,-0.8003914912294805,-2.038425750113268,0.12132089297399393,0.1996085087705195,0.33456935372872015,0.20020560316148642,-0.03530160203622381,0.18969501895412133
Acetone,939,Excellent,1.63065,-1.6818044778684245,-1.5393405741217565,0.14831958835908068,-1.596382081793988,0.046887864465544646,0.01898107209308551,-0.04404019932041821,-0.021938257919791253,-2.9368228981348024,-0.31547412801788455,-0.910098183057342,0.05976737933217516,0.09409956974727714,0.1496547724422798,0.08990181694265793,0.0,0.09201166103458674
2-Furancarbonyl chloride,776,Poor/No match,1.63065,1.3649201885284044,1.4021395896941082,0.08775872350455112,1.8192974902807622,-0.17521229268018718,0.06340153200234312,-3.817809039353895,-0.7172947682593674,-3.817809039353895,-0.7110906720478068,-0.8003033092011921,-0.09628326007826384,0.0,0.31094116389378484,0.2849797180946997,0.28890932795219315,-0.4638337826559143
Isobutylene epoxide,937,Fair,1.63065,-0.9496433449023575,-0.9496433449023575,0.0503566550976425,-0.9496433449023575,-0.20814935787387653,0.033980489418190755,-0.9496433449023575,0.04063312935500403,-0.9496433449023575,0.08544370278108449,1.1401325480996327,0.0,0.1099520493101683,-0.10176427548059529,-0.20129273442463635,0.08687707342529655,0.050054894500165724
"1,3-Dioxolane",765,Fair,1.6557666666666668,0.36150989816622003,0.0,-4.157879683453033,1.1694601048179285,0.5109272384024308,0.6137967938050228,-1.4341375628430153,-0.48907276159756913,-28.250474751534735,-0.8340654078042574,21.818310531884837,-0.20353059974118864,0.41501969788083554,-0.22954268179785192,0.7178522413011895,0.35430302981408246,-0.37157239411598536
"1,3-Dioxolane, 2-ethyl-",820,Good,1.6557666666666668,0.1994827310724294,-0.46357807180261007,-2.012900828195459,0.8118742342454971,0.4550562901564307,0.5514879643313689,-0.14855295906510177,-0.4992435719141657,-16.690656594098,-0.9922199813473617,15.011348346881352,-0.14997930962430583,0.5364219281973899,0.0,0.7355650264535405,0.4978999377185589,-0.2638052198876005
"Propanal, 2-methyl-",919,Excellent,1.8962,-4.5428902865138365,-3.065107740848837,-0.06495912083140752,-4.5428902865138365,0.09174075859285183,0.2059480974657952,0.15297331596089814,-0.05711494352978345,-4.5428902865138365,-0.7956919196580973,-0.8802679408615962,0.11452183461607918,0.0,0.11973205913840375,0.06456309927949921,0.1332654754826794,0.23347808909830184
"Propanal, 2-methyl-",926,Excellent,1.8962,-4.686309491941915,-4.686309491941915,-0.06507640546633234,-4.686309491941915,0.0928014022827492,0.21371936776097608,0.1608946066430291,-0.06512146161204256,-4.686309491941915,-0.8794246200389035,-0.5528491720221813,0.1176031507368226,0.0,0.12057537996109641,0.07079170027824798,0.13679259152864842,0.24149784737845686
"Propane, 2-methoxy-2-methyl-",952,Excellent,1.9105666666666667,-2.818460905908681,-2.818460905908681,0.20799358848900962,-2.818460905908681,0.06211516991138197,0.2858973204974183,-0.4883723675512595,0.0,-2.818460905908681,-0.3497139677784373,-0.7920064115109904,0.12213486879353594,0.20223454092096715,0.4646042811591796,0.35782781823982185,0.3851716765037596,-0.20960582033610348
"Propane, 2-methoxy-2-methyl-",909,Excellent,1.9105666666666667,-3.2596910567414077,-1.8493840779547126,0.2422940269391977,-3.2596910567414077,0.07176746532806778,0.3317917471988678,-0.5689490625246932,0.0,-3.2596910567414077,-0.40516465926901957,-0.7577059730608023,0.1418207667673125,0.23523680560224142,0.5386910713238117,0.4155263996557337,0.4470082648299874,-0.23849174747747
