compound_name,matched_biomarker,match_score,match_method,Hit 1: Match Factor
Indole,indole,1.0,exact,972
Caryophyllene,caryophyllene,1.0,exact,971
"Phenol, 4-ethyl-","Phenol, 4-ethyl-",1.0,exact,967
Benzeneacetaldehyde,Benzeneacetaldehyde,1.0,exact,963
"Disulfide, dimethyl","Disulfide, dimethyl",1.0,exact,962
Benzaldehyde,benzaldehyde,1.0,exact,962
"Disulfide, dimethyl","Disulfide, dimethyl",1.0,exact,959
p-Cresol,p-cresol,1.0,exact,959
p-Cresol,p-cresol,1.0,exact,958
Benzeneacetaldehyde,Benzeneacetaldehyde,1.0,exact,956
Phenol,Phenol,1.0,exact,955
Octadecane,Octadecane,1.0,exact,954
Nonanal,nonanal,1.0,exact,949
n-Hexane,n-hexane,1.0,exact,949
p-Cresol,p-cresol,1.0,exact,948
"2,4-Di-tert-butylphenol","2,4-Di-tert-butylphenol",1.0,exact,944
Phenol,Phenol,1.0,exact,944
Phenol,Phenol,1.0,exact,943
"Disulfide, dimethyl","Disulfide, dimethyl",1.0,exact,943
Phenol,Phenol,1.0,exact,942
Acetone,Acetone,1.0,exact,939
"2-Butenal, (E)-",2-butenal,0.0,derivative,939
"Indole, 3-methyl-","Indole, 3-methyl-",1.0,exact,936
"Butanal, 2-methyl-","Butanal, 2-methyl-",1.0,exact,936
"Butanal, 2-methyl-","Butanal, 2-methyl-",1.0,exact,935
"Butanal, 2-methyl-","Butanal, 2-methyl-",1.0,exact,935
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate","Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",1.0,exact,934
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate","Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",1.0,exact,934
"Disulfide, dimethyl","Disulfide, dimethyl",1.0,exact,933
"1-Hexanol, 2-ethyl-",1-Hexanol,0.0,derivative,933
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate","Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",1.0,exact,931
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate","Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",1.0,exact,931
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate","Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",1.0,exact,931
Benzeneacetaldehyde,Benzeneacetaldehyde,1.0,exact,930
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate","Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",1.0,exact,928
"2-Butenal, (E)-",2-butenal,0.0,derivative,927
"Propanal, 2-methyl-",Propanal,0.0,derivative,926
"Disulfide, dimethyl","Disulfide, dimethyl",1.0,exact,925
Benzeneacetic acid,"Benzeneacetic acid, 4-(2-(diethylamino)-2-oxoethoxy)-3-ethoxy-, propyl ester",0.0,derivative,924
Dimethyl trisulfide,Dimethyl trisulfide,1.0,exact,924
"Furan, 2,3-dihydro-",furan,0.0,derivative,922
Dimethyl trisulfide,Dimethyl trisulfide,1.0,exact,921
Phenylethyl Alcohol,Phenylethyl alcohol,1.0,exact,921
Nonanal,nonanal,1.0,exact,920
"1-Hexanol, 2-ethyl-",1-Hexanol,0.0,derivative,920
Phenylethyl Alcohol,Phenylethyl alcohol,1.0,exact,919
"Propanal, 2-methyl-",Propanal,0.0,derivative,919
"Butanal, 2-methyl-","Butanal, 2-methyl-",1.0,exact,918
"Disulfide, dimethyl","Disulfide, dimethyl",1.0,exact,917
"Benzeneacetaldehyde, α-ethylidene-",Benzeneacetaldehyde,0.0,derivative,915
Tridecane,tridecane,1.0,exact,914
Hexanal,Hexanal,1.0,exact,913
2-Pentanone,2-Pentanone,1.0,exact,913
Benzaldehyde,benzaldehyde,1.0,exact,912
"1-Hexanol, 2-ethyl-",1-Hexanol,0.0,derivative,912
"Disulfide, dimethyl","Disulfide, dimethyl",1.0,exact,909
Dimethyl trisulfide,Dimethyl trisulfide,1.0,exact,909
"Butanal, 2-methyl-","Butanal, 2-methyl-",1.0,exact,909
Octanal,Octanal,1.0,exact,909
"1-Hexanol, 2-ethyl-",1-Hexanol,0.0,derivative,908
Caryophyllene oxide,caryophyllene,0.0,derivative,907
Nonanoic acid,Nonanoic acid,1.0,exact,905
Toluene,Toluene,1.0,exact,905
"Butanal, 2-methyl-","Butanal, 2-methyl-",1.0,exact,905
"Butanal, 2-methyl-","Butanal, 2-methyl-",1.0,exact,904
"Butanal, 2-methyl-","Butanal, 2-methyl-",1.0,exact,903
"Butanal, 3-methyl-",Butanal,0.0,derivative,898
Benzeneacetaldehyde,Benzeneacetaldehyde,1.0,exact,896
"Butanal, 3-methyl-",Butanal,0.0,derivative,896
"Butanal, 3-methyl-",Butanal,0.0,derivative,895
Methional,methional,1.0,exact,893
"Butanal, 3-methyl-",Butanal,0.0,derivative,891
Hexanal,Hexanal,1.0,exact,890
Toluene,Toluene,1.0,exact,889
2-Pentadecanone,2-Pentadecanone,1.0,exact,888
"2,3-Pentanedione","2,3-pentanedione",1.0,exact,888
"Butanal, 3-methyl-",Butanal,0.0,derivative,880
Germacrene D,Germacrene D,1.0,exact,878
Octanal,Octanal,1.0,exact,877
Octanal,Octanal,1.0,exact,877
"Butanal, 2-methyl-","Butanal, 2-methyl-",1.0,exact,874
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,871
"Butanal, 3-methyl-",Butanal,0.0,derivative,871
Methional,methional,1.0,exact,871
Methional,methional,1.0,exact,869
Heptanal,heptanal,1.0,exact,868
1-Pentadecene,1-pentadecene,1.0,exact,866
Dimethyl trisulfide,Dimethyl trisulfide,1.0,exact,865
"Propanal, 2-methyl-",Propanal,0.0,derivative,863
"Naphthalene, 1,2,3,5,6,7,8,8a-octahydro-1,8a-dimethyl-7-(1-methylethenyl)-, [1S-(1α,7α,8aα)]-",naphthalene,0.0,derivative,862
γ-Dodecalactone,γ-Dodecalactone,1.0,exact,862
1-Heptanol,1-Heptanol,1.0,exact,861
2-Pentanone,2-Pentanone,1.0,exact,861
