compound_name,hit_match_factor,match_quality,retention_time,cluster,Exp_1.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF
2-Propenal,730,Fair,1.415333333333333,1,7.260316451479595,6.957510002029383,10.466130680253851,7.733554517950196,10.679607209036291,10.79037945309147,10.221763577726438,10.823851692496229,5.957121913391803,10.31099006874443,15.636534856320086,10.630713296603288,10.52978544221053,10.117994582530622,10.323940551381217,10.405686875279018,10.659794005900126
N-Dimethylaminomethyl-tert.-butyl-isopropylphosphine,903,Excellent,1.4261,1,0.0,0.0,7.4942014182322145,0.0,5.863753896048382,7.787045067407108,7.668345628077272,7.582548768676188,0.0,7.470427232941697,17.08664056803228,7.317968587437646,7.960815665610305,7.852741107498879,7.530808507745805,7.226152361265986,5.577370034994029
2-Propenal,777,Fair,1.62705,1,9.91717237818081,10.10461103420232,14.594981850147365,9.691558405291474,15.491894521379246,15.981003482121524,15.528439016546956,15.596816130575297,0.0,14.454248133204484,13.088524335223244,15.167115830217307,15.612589050113224,15.362374711562786,15.363406951590084,15.52226202539905,15.67936171136545
2-Propenal,871,Good,1.62705,1,11.4533682087838,11.526025774281106,14.537972260875325,12.060099713663403,15.454744834444393,15.93715611876373,15.468304089978464,15.557522767808724,0.0,14.445964741196844,13.257504718242222,15.13616304313222,15.56661536232866,15.322531368979591,15.332566834133017,15.486295942709,15.63229981602727
Acetone,771,Excellent,1.63065,1,0.0,0.0,17.523979949219733,7.491285174880939,16.89587317733907,16.683618830615387,16.323782576864847,16.450133631137952,26.33012950183128,14.72293872196851,11.690186410361465,16.980812721634884,17.172590086496484,17.50319710450619,17.17405275958607,16.597142213017328,17.14830549264051
Acetone,939,Excellent,1.63065,1,7.139740051619755,7.950210418480424,17.55122874698435,7.625703996617894,16.97418849809796,16.815428084707698,16.456903071569254,16.582639964102764,0.0,14.912728371983198,11.529940428105318,17.047459445084694,17.242773642078323,17.558824545676355,17.2188928261939,16.707445669105446,17.230895628800273
2-Furancarbonyl chloride,776,Poor/No match,1.63065,1,15.274630149328727,15.384323818858505,11.510557561036212,16.613778873359816,10.735524786681474,11.438771620595595,0.0,9.137889841687866,0.0,9.15617466246002,8.893245619238323,10.968145810861683,11.251913517527704,12.168324749495548,12.091810722756607,12.10339213759909,9.884894487724337
Isobutylene epoxide,937,Fair,1.63065,1,0.0,0.0,7.538816729325887,0.0,5.589987274104865,7.415359817539424,0.0,7.465512850789254,0.0,7.803331551384475,15.754437462705347,7.159187135442886,7.988095484206048,6.392004913002046,5.641678101670685,7.8141374699763855,7.536541811485378
"1,3-Dioxolane",765,Fair,1.6557666666666668,0,10.000889398493053,9.874529044526533,8.421204664706215,10.28329625544968,10.053115985086547,10.08907249277551,9.373247804381338,9.703581008015409,0.0,9.58299401133384,17.500791716019926,9.80338798101272,10.019592945109382,9.794295848507472,10.12544351123021,9.998370345928834,9.744651496268933
"1,3-Dioxolane, 2-ethyl-",820,Good,1.6557666666666668,0,9.321379883529268,8.955447932910868,8.100403122652105,9.659348311653178,9.462426572756833,9.515645569384631,9.129304920834103,8.935764751566092,0.0,8.663699477415447,17.495795945508494,9.128517742282558,9.507330880947782,9.21128876582256,9.617234561094593,9.486071251278076,9.065699163363464
"Propanal, 2-methyl-",919,Excellent,1.8962,1,0.0,5.034223028074695,15.254547604815285,0.0,15.7883623692461,16.177421786016094,15.996957572426965,15.28126962702618,0.0,12.765228798057148,12.477111608681366,15.865968521691784,15.475837741806176,15.883717704309126,15.695778789364338,15.929820722922203,16.271205623323972
"Propanal, 2-methyl-",926,Excellent,1.8962,1,0.0,0.0,15.250988839523428,0.0,15.772017023762018,16.17107037326808,15.996738149122528,15.25084014527613,0.0,12.563477671069464,13.64124164007192,15.853867729362808,15.46575392817215,15.86367667729503,15.699380627079442,15.917196702794016,16.262744884096147
"Propane, 2-methoxy-2-methyl-",952,Excellent,1.9105666666666667,1,0.0,0.0,17.39866892289421,0.0,16.56003404088101,17.846526719395435,13.395357212525813,16.202942507412395,0.0,14.192485203543486,11.649807026869963,16.905079000795475,17.3655609537729,18.87388835609814,18.2600452170288,18.41724128189264,14.997947593697264
"Propane, 2-methoxy-2-methyl-",909,Excellent,1.9105666666666667,1,0.0,7.00849868120497,17.403060617121966,0.0,16.555631511162204,17.847818151364883,13.3716006526143,16.198984204107177,0.0,14.18552470708283,12.433576110114512,16.903760307329254,17.36798986502544,18.876001137114105,18.26393620944893,18.420384850684083,15.013803159968756
