compound_name,matched_biomarker,match_score,match_method,Condiciones,Evidencia,Origen_probable,Volatilidad,Matriz,Metodo,Vinculo Microbio.,Confianza_origen,InChIKey,CID,Flag_contaminante,Match Quality,Est. Retention Time (min),Hit 1: Match Factor,Exp_1.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Fair,1.415333333333333,730,152.3108988581999,123.28513996660465,1413.5531602404092,211.82952854995472,1639.1444995707209,1770.038001285085,1193.1460474282248,1811.6085660634528,61.12585572201755,1269.3321680901904,50939.83037217533,1584.4902569791004,1477.363617440542,1110.2707038624867,1280.7867544448957,1355.5127339190508,1616.773597647656
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Fair,1.62705,777,965.8661548123804,1100.0093720707057,24746.27150637908,825.893893474954,46080.32314427905,64677.71886101122,47262.50550229995,49556.51169833551,0.0,22446.203969924394,8709.406512186068,36791.28939676294,50101.29434466389,42123.58087394176,42153.73155498845,47060.576373418655,52474.693646614935
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Good,1.62705,871,2803.1896512490284,2948.032025396556,23787.427066418182,4269.234888805193,44908.86716480229,62741.53149212462,45332.94497308658,48224.97440705324,0.0,22317.69017436313,9791.79330122243,36010.32451536397,48529.87873387036,40976.131322419926,41262.16415271288,45901.84469277511,50790.51251579684
N-Dimethylaminomethyl-tert.-butyl-isopropylphosphine,,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Excellent,1.4261,903,0.0,0.0,179.29323047271487,0.0,57.23255022089189,219.8686836675545,202.42393508882495,190.67903883054456,0.0,176.34652270996406,139183.64821277454,158.56147861290253,248.140484856131,230.15890127149677,183.9265435766972,148.72303223079507,46.7480541206145
"Benzene, 1-chloro-3-fluoro-",Benzene,0.0,derivative,Ansied.AutismDepres.Esquiz.,dataset_metabolomics text_mining_claim,Ambiente/limpieza,No-volatil,fecal fecal; csf; tissue fecal; plasma fecal; serum fecal; serum; tissue fecal; tissue serum; bile tissue; bile unknown,LC,Posible,Media,-,-,Posible_contaminante,Poor/No match,1.497866666666667,606,0.0,0.0,117906.38620309424,0.0,37687.70681336748,82229.62165367402,839.7590756990826,19849.444646092223,0.0,7295.656554211345,9186.87616597869,55066.21461563757,65991.08094734576,155530.17355407256,111063.53599504213,143693.4352828992,17069.756411213286
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Fair,1.415333333333333,730,152.3108988581999,123.28513996660465,1413.5531602404092,211.82952854995472,1639.1444995707209,1770.038001285085,1193.1460474282248,1811.6085660634528,61.12585572201755,1269.3321680901904,50939.83037217533,1584.4902569791004,1477.363617440542,1110.2707038624867,1280.7867544448957,1355.5127339190508,1616.773597647656
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Fair,1.62705,777,965.8661548123804,1100.0093720707057,24746.27150637908,825.893893474954,46080.32314427905,64677.71886101122,47262.50550229995,49556.51169833551,0.0,22446.203969924394,8709.406512186068,36791.28939676294,50101.29434466389,42123.58087394176,42153.73155498845,47060.576373418655,52474.693646614935
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Good,1.62705,871,2803.1896512490284,2948.032025396556,23787.427066418182,4269.234888805193,44908.86716480229,62741.53149212462,45332.94497308658,48224.97440705324,0.0,22317.69017436313,9791.79330122243,36010.32451536397,48529.87873387036,40976.131322419926,41262.16415271288,45901.84469277511,50790.51251579684
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Fair,1.415333333333333,730,152.3108988581999,123.28513996660465,1413.5531602404092,211.82952854995472,1639.1444995707209,1770.038001285085,1193.1460474282248,1811.6085660634528,61.12585572201755,1269.3321680901904,50939.83037217533,1584.4902569791004,1477.363617440542,1110.2707038624867,1280.7867544448957,1355.5127339190508,1616.773597647656
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Fair,1.62705,777,965.8661548123804,1100.0093720707057,24746.27150637908,825.893893474954,46080.32314427905,64677.71886101122,47262.50550229995,49556.51169833551,0.0,22446.203969924394,8709.406512186068,36791.28939676294,50101.29434466389,42123.58087394176,42153.73155498845,47060.576373418655,52474.693646614935
2-Propenal,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-",0.0,derivative,Ansied.,dataset_metabolomics,Biológico humano,Desconocido,fecal fecal; tissue,-,Posible,Baja,-,-,No,Good,1.62705,871,2803.1896512490284,2948.032025396556,23787.427066418182,4269.234888805193,44908.86716480229,62741.53149212462,45332.94497308658,48224.97440705324,0.0,22317.69017436313,9791.79330122243,36010.32451536397,48529.87873387036,40976.131322419926,41262.16415271288,45901.84469277511,50790.51251579684
Isobutylene epoxide,,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Fair,1.63065,594,0.0,0.0,0.0,0.0,44.84324211073012,179.74170813145818,91.45239713661688,182.9485620521488,0.0,218.7057436384829,55380.99425424809,134.53697000943905,238.6631749885317,82.29539640005952,28.425090739521263,226.0815428734348,175.9126914067817
Isobutylene epoxide,,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Fair,1.63065,937,0.0,0.0,184.9559022060438,0.0,47.16747103395191,169.70480024786423,0.0,175.74343901718115,0.0,222.37618173215787,55277.75345782931,141.93219801048363,252.89628653918197,82.98180628785646,48.92457017246001,224.05557142544544,184.66290816972275
Acetone,Acetone,1.0,exact,Ansied.AutismBipolarDepres.Esquiz.,dataset_metabolomics text_mining_claim,Ambiente/limpieza,No-volatil,fecal fecal; serum serum; bile,LC,Posible,Media,CSCPPACGZOOCGX-UHFFFAOYSA-N,-,Posible_contaminante,Excellent,1.63065,771,0.0,0.0,188469.59782401813,178.92915637764767,121944.17725663209,105260.53628828954,82024.37004826596,89532.1069803204,84364311.12079827,27041.45898155805,3303.4315831894023,129339.33455348673,147727.64665921094,185774.0335784244,147877.49696186397,99136.4282159341,145261.77223282275
Acetone,Acetone,1.0,exact,Ansied.AutismBipolarDepres.Esquiz.,dataset_metabolomics text_mining_claim,Ambiente/limpieza,No-volatil,fecal fecal; serum serum; bile,LC,Posible,Media,CSCPPACGZOOCGX-UHFFFAOYSA-N,-,Posible_contaminante,Excellent,1.63065,939,140.01844348909478,246.31576882074745,192063.152217469,196.499336539211,128746.82172597435,115330.580447441,89953.20305042935,98144.87166755422,0.0,30843.558421597936,2956.0448873429987,135454.4997280268,155091.95642919888,193077.03793253464,152545.84601488133,107013.4188420927,153820.2854813494
2-Furancarbonyl chloride,,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Poor/No match,1.63065,600,39737.317881622126,42856.52146538606,3005.806546301871,100504.31644406794,1703.2367989835136,2769.39689276668,530.6780618474427,509.1203860788453,0.0,580.9663305863996,430.0586291378813,2020.8811209472256,2418.080000480554,4669.026239004228,4488.299703854136,4471.822009357265,893.8644476474253
2-Furancarbonyl chloride,,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Poor/No match,1.63065,776,39637.92314087872,42769.36263305685,2916.582146124526,100286.26376844182,1703.963083743159,2774.961070365899,0.0,562.3508311802359,0.0,569.5362180279175,474.4815723625169,2002.2764513099344,2437.7286333301745,4601.891593415513,4364.135500736703,4399.318199625456,944.4743358855592
Acetone,Acetone,1.0,exact,Ansied.AutismBipolarDepres.Esquiz.,dataset_metabolomics text_mining_claim,Ambiente/limpieza,No-volatil,fecal fecal; serum serum; bile,LC,Posible,Media,CSCPPACGZOOCGX-UHFFFAOYSA-N,-,Posible_contaminante,Excellent,1.63065,771,0.0,0.0,188469.59782401813,178.92915637764767,121944.17725663209,105260.53628828954,82024.37004826596,89532.1069803204,84364311.12079827,27041.45898155805,3303.4315831894023,129339.33455348673,147727.64665921094,185774.0335784244,147877.49696186397,99136.4282159341,145261.77223282275
Acetone,Acetone,1.0,exact,Ansied.AutismBipolarDepres.Esquiz.,dataset_metabolomics text_mining_claim,Ambiente/limpieza,No-volatil,fecal fecal; serum serum; bile,LC,Posible,Media,CSCPPACGZOOCGX-UHFFFAOYSA-N,-,Posible_contaminante,Excellent,1.63065,939,140.01844348909478,246.31576882074745,192063.152217469,196.499336539211,128746.82172597435,115330.580447441,89953.20305042935,98144.87166755422,0.0,30843.558421597936,2956.0448873429987,135454.4997280268,155091.95642919888,193077.03793253464,152545.84601488133,107013.4188420927,153820.2854813494
2-Furancarbonyl chloride,,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Poor/No match,1.63065,600,39737.317881622126,42856.52146538606,3005.806546301871,100504.31644406794,1703.2367989835136,2769.39689276668,530.6780618474427,509.1203860788453,0.0,580.9663305863996,430.0586291378813,2020.8811209472256,2418.080000480554,4669.026239004228,4488.299703854136,4471.822009357265,893.8644476474253
2-Furancarbonyl chloride,,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Poor/No match,1.63065,776,39637.92314087872,42769.36263305685,2916.582146124526,100286.26376844182,1703.963083743159,2774.961070365899,0.0,562.3508311802359,0.0,569.5362180279175,474.4815723625169,2002.2764513099344,2437.7286333301745,4601.891593415513,4364.135500736703,4399.318199625456,944.4743358855592
Isobutylene epoxide,,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Fair,1.63065,594,0.0,0.0,0.0,0.0,44.84324211073012,179.74170813145818,91.45239713661688,182.9485620521488,0.0,218.7057436384829,55380.99425424809,134.53697000943905,238.6631749885317,82.29539640005952,28.425090739521263,226.0815428734348,175.9126914067817
Isobutylene epoxide,,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Fair,1.63065,937,0.0,0.0,184.9559022060438,0.0,47.16747103395191,169.70480024786423,0.0,175.74343901718115,0.0,222.37618173215787,55277.75345782931,141.93219801048363,252.89628653918197,82.98180628785646,48.92457017246001,224.05557142544544,184.66290816972275
"1,3-Dioxolane",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Fair,1.6557666666666668,765,1023.6314743021634,937.70565777589,341.7955722646497,1245.17957023567,1061.4034232524025,1088.2145866996243,662.1759159814903,832.8135506893665,0.0,765.9528147766824,185464.5511182052,892.5396761897209,1037.0015949246106,886.9261303266894,1116.0232591522754,1021.8439527649842,856.8915648247748
