Compound Name,Match Quality,Est. Retention Time (min),Hit 1: Match Factor,Hit 1: Reverse Match Factor,Comments,Hit 2: Compound,Hit 2: Match Factor,Hit 2: Reverse Match Factor,Retention Indices,Compound ID,Interval ID,Model Order,Component #,Exp_1.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,is_contamination
2-Propenal,Fair,1.4153333333333333,730,966,11.39 - 1.7,2-Propenal,730,965,456,303,164,6,4,152.3108988581999,1269.3321680901904,50939.83037217533,1584.4902569791004,1477.363617440542,1110.2707038624867,1280.7867544448957,1355.5127339190508,1616.773597647656,123.28513996660465,1413.5531602404092,211.82952854995472,1639.1444995707207,1770.0380012850853,1193.1460474282248,1811.6085660634528,61.12585572201755,False
N-Dimethylaminomethyl-tert.-butyl-isopropylphosphine,Excellent,1.4261000000000001,903,977,,"1,2-Propanediamine, N,N'-dimethyl-, (S)-",902,946,0,302,164,6,3,0.0,176.34652270996406,139183.64821277454,158.56147861290253,248.140484856131,230.15890127149675,183.92654357669716,148.72303223079507,46.7480541206145,0.0,179.29323047271487,0.0,57.23255022089189,219.86868366755454,202.42393508882498,190.67903883054458,0.0,False
"Benzene, 1-chloro-3-fluoro-",Poor/No match,1.4978666666666667,606,613,1.42-1.6 | 1.47 - 1.54,"Benzene, 1-chloro-4-fluoro-",601,603,0,304,164,6,5,0.0,7295.656554211345,9186.87616597869,55066.21461563757,65991.08094734576,155530.17355407256,111063.53599504213,143693.4352828992,17069.756411213286,0.0,117906.38620309423,0.0,37687.70681336748,82229.62165367402,839.7590756990826,19849.444646092226,0.0,False
2-Propenal,Fair,1.62705,777,966,,2-Propenal,776,966,0,198,112,7,2,965.8661548123804,22446.203969924394,8709.406512186068,36791.28939676294,50101.29434466389,42123.580873941755,42153.731554988444,47060.576373418655,52474.693646614935,1100.0093720707055,24746.271506379082,825.893893474954,46080.32314427905,64677.71886101122,47262.50550229995,49556.51169833551,0.0,False
2-Propenal,Good,1.62705,871,963,,2-Propenal,869,982,0,204,113,7,2,2803.1896512490284,22317.69017436313,9791.79330122243,36010.32451536397,48529.878733870355,40976.131322419926,41262.164152712874,45901.84469277511,50790.512515796836,2948.032025396556,23787.427066418182,4269.234888805193,44908.867164802294,62741.53149212462,45332.94497308658,48224.97440705324,0.0,False
Isobutylene epoxide,Fair,1.63065,594,797,,"Benzene, 1-chloro-3-fluoro-",591,598,510,199,112,7,4,0.0,218.70574363848291,55380.99425424809,134.53697000943905,238.66317498853167,82.29539640005952,28.425090739521266,226.0815428734348,175.9126914067817,0.0,0.0,0.0,44.84324211073012,179.74170813145818,91.45239713661687,182.9485620521488,0.0,False
Acetone,Excellent,1.63065,771,868,,Isobutylene epoxide,771,868,0,200,112,7,5,0.0,27041.45898155805,3303.4315831894023,129339.33455348671,147727.64665921094,185774.0335784244,147877.49696186397,99136.4282159341,145261.77223282275,0.0,188469.59782401813,178.92915637764767,121944.17725663207,105260.53628828954,82024.37004826596,89532.1069803204,84364311.12079827,False
2-Furancarbonyl chloride,Poor/No match,1.63065,600,801,,2-Furancarbonyl chloride,592,760,0,202,112,7,7,39737.317881622126,580.9663305863996,430.0586291378813,2020.8811209472258,2418.0800004805546,4669.026239004228,4488.299703854136,4471.822009357265,893.8644476474253,42856.52146538606,3005.806546301871,100504.31644406794,1703.2367989835136,2769.3968927666797,530.6780618474427,509.1203860788453,0.0,False
Acetone,Excellent,1.63065,939,972,,N-Dimethylaminomethyl-tert.-butyl-isopropylphosphine,934,973,0,205,113,7,3,140.01844348909478,30843.558421597936,2956.0448873429987,135454.4997280268,155091.95642919888,193077.03793253464,152545.84601488133,107013.4188420927,153820.2854813494,246.31576882074745,192063.152217469,196.499336539211,128746.82172597435,115330.580447441,89953.20305042935,98144.87166755422,0.0,False
2-Furancarbonyl chloride,Poor/No match,1.63065,776,864,,Isobutylene epoxide,776,864,0,206,113,7,4,39637.92314087872,569.5362180279175,474.4815723625169,2002.2764513099344,2437.7286333301745,4601.891593415513,4364.135500736703,4399.318199625456,944.4743358855593,42769.362633056844,2916.582146124526,100286.26376844182,1703.9630837431587,2774.961070365899,0.0,562.3508311802359,0.0,False
