compound_name,matched_biomarker,match_score,match_method,Hit 1: Match Factor
N-Dimethylaminomethyl-tert.-butyl-isopropylphosphine,,0.0,no_match,903
Isobutylene epoxide,,0.0,no_match,594
2-Furancarbonyl chloride,,0.0,no_match,600
2-Furancarbonyl chloride,,0.0,no_match,776
Isobutylene epoxide,,0.0,no_match,937
"1,3-Dioxolane",,0.0,no_match,765
"1,3-Dioxolane, 2-ethyl-",,0.0,no_match,820
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,952
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,909
2-Butyl-3-(4-β-diethylaminoethoxybenzoyl)benzofuran,,0.0,no_match,842
Tolycaine,,0.0,no_match,873
"Heptane, 2,2-dimethyl-",,0.0,no_match,873
"Pentane, 3-methyl-",,0.0,no_match,890
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,825
2-Butanone,,0.0,no_match,806
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,886
2-Butanone,,0.0,no_match,877
"(E)-4-Chloro-3-methyl-1,3-hexadiene",,0.0,no_match,575
Tolycaine,,0.0,no_match,702
2-Butanone,,0.0,no_match,820
2-Butanone,,0.0,no_match,790
"2-Butanamine, N,N-dimethyl-",,0.0,no_match,595
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,637
"Guanidine, methyl-",,0.0,no_match,806
"Propane, 1,3-dimethoxy-",,0.0,no_match,810
"2-Butanone, 3-methyl-",,0.0,no_match,512
"2-Propanethiol, 2-methyl-",,0.0,no_match,750
"2-Propanethiol, 2-methyl-",,0.0,no_match,678
"Carbamimidothioic acid, methyl ester",,0.0,no_match,674
2-Heptanone,,0.0,no_match,659
"Tricyclo[2.2.1.0(2,6)]heptane, 1,3,3-trimethyl-",,0.0,no_match,848
trans-β-Ocimene,,0.0,no_match,874
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",,0.0,no_match,896
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",,0.0,no_match,893
"Bicyclo[3.1.0]hex-2-ene, 4-methyl-1-(1-methylethyl)-",,0.0,no_match,867
"Cyclohexene, 4-methylene-1-(1-methylethyl)-",,0.0,no_match,824
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",,0.0,no_match,668
"Cyclohexene, 4-methylene-1-(1-methylethyl)-",,0.0,no_match,833
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",,0.0,no_match,822
3-Carene,,0.0,no_match,690
3-Carene,,0.0,no_match,818
3-Carene,,0.0,no_match,823
3-Carene,,0.0,no_match,829
3-Carene,,0.0,no_match,838
D-Limonene,,0.0,no_match,911
"1,3,5-Cycloheptatriene, 3,7,7-trimethyl-",,0.0,no_match,843
4-Oxo-4-(para-tolyl)-butyric acid,,0.0,no_match,660
2-Nonanone,,0.0,no_match,779
1-Methyl-1-(2-tetradecyl)oxy-1-silacyclopentane,,0.0,no_match,587
"7,7,9,9-Tetramethyl-3,6,8,10,13-pentaoxa-7,9-disilapentadecane",,0.0,no_match,601
"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",,0.0,no_match,589
"4-Methyl-1,2,3-trithiolane",,0.0,no_match,543
2-Phenylpropenal,,0.0,no_match,620
"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1α,2β,5α)-(ñ)-",,0.0,no_match,957
Dodecane,,0.0,no_match,915
"1,6-Octadiene, 3-ethoxy-3,7-dimethyl-",,0.0,no_match,566
"3-Dodecene, (E)-",,0.0,no_match,715
Decanal,,0.0,no_match,917
"Tetrasulfide, dimethyl",,0.0,no_match,608
3-Trifluoroacetoxytridecane,,0.0,no_match,688
"2,6-Dihydroxyacetophenone, 2TMS derivative",,0.0,no_match,558
"3-Methyl-6-(methylthio)hexa-1,5-dien-3-ol",,0.0,no_match,528
"Phosphonoacetic Acid, 3TMS derivative",,0.0,no_match,653
"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",,0.0,no_match,885
"2,5-Pyrrolidinedione, 3-methyl-4-propyl-, cis-",,0.0,no_match,626
"Dodecane, 2,6,11-trimethyl-",,0.0,no_match,770
"D-Glucitol, 1,4:3,6-dianhydro-2,5-di-O-methyl-",,0.0,no_match,513
"5-Thiazoleethanol, 4-methyl-",,0.0,no_match,761
2-Undecanol,,0.0,no_match,701
n-Tridecan-1-ol,,0.0,no_match,794
"Dodecane, 2,6,10-trimethyl-",,0.0,no_match,781
"Dodecane, 2,6,10-trimethyl-",,0.0,no_match,801
"Benzenepropionic acid, 2-tetradecyl ester",,0.0,no_match,904
α-Cubebene,,0.0,no_match,929
"Strychane, 1-acetyl-20α-hydroxy-16-methylene-",,0.0,no_match,496
"7,7-Diethylheptadecane",,0.0,no_match,675
"1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",,0.0,no_match,661
α-ylangene,,0.0,no_match,533
"1,2,4-Metheno-1H-indene, octahydro-1,7a-dimethyl-5-(1-methylethyl)-, [1S-(1α,2α,3aβ,4α,5α,7aβ,8S*)]-",,0.0,no_match,912
n-Decanoic acid,,0.0,no_match,809
n-Decanoic acid,,0.0,no_match,858
.alfa.-Copaene,,0.0,no_match,955
.alfa.-Copaene,,0.0,no_match,956
"1,7-Di(2,5-dimethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",,0.0,no_match,627
"1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",,0.0,no_match,631
"1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",,0.0,no_match,682
"1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",,0.0,no_match,680
"7,7,9,9,11,11-Hexamethyl-3,6,8,10,12,15-hexaoxa-7,9,11-trisilaheptadecane",,0.0,no_match,524
(-)-β-Bourbonene,,0.0,no_match,570
"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, octahydro-7-methyl-3-methylene-4-(1-methylethyl)-, [3aS-(3aα,3bβ,4β,7α,7aS*)]-",,0.0,no_match,831
α-Cubebene,,0.0,no_match,704
2-Dodecanone,,0.0,no_match,697
2-Dodecanone,,0.0,no_match,761
Tetradecane,,0.0,no_match,887
"5-Heptenoic acid, 6-methyl-4-[(4-methylphenyl) sulfonyl]",,0.0,no_match,555
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",,0.0,no_match,840
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",,0.0,no_match,800
"1H-Cyclopropa[a]naphthalene, 1a,2,3,5,6,7,7a,7b-octahydro-1,1,7,7a-tetramethyl-, [1aR-(1aα,7α,7aα,7bα)]-",,0.0,no_match,910
trans-α-Bergamotene,,0.0,no_match,941
α-Cubebene,,0.0,no_match,795
"6,11-Dimethyl-2,6,10-dodecatrien-1-ol",,0.0,no_match,787
α-Cubebene,,0.0,no_match,776
"5,9-Undecadien-2-one, 6,10-dimethyl-",,0.0,no_match,887
"5,9-Undecadien-2-one, 6,10-dimethyl-",,0.0,no_match,869
"5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",,0.0,no_match,824
Humulene,,0.0,no_match,910
"4,8,12-Tetradecatrien-1-ol, 5,9,13-trimethyl-",,0.0,no_match,795
"cis-Muurola-4(15),5-diene",,0.0,no_match,759
"Tetradecane, 2-methyl-",,0.0,no_match,806
"Tetradecane, 3-methyl-",,0.0,no_match,872
"Tetradecane, 2,6,10-trimethyl-",,0.0,no_match,565
γ-Muurolene,,0.0,no_match,842
trans-β-Ionone,,0.0,no_match,753
"2H-Indol-2-one, 1,3-dihydro-",,0.0,no_match,801
"Pentadecafluorooctanoic acid, pentadecyl ester",,0.0,no_match,723
2-Tridecanone,,0.0,no_match,708
α-acorenol,,0.0,no_match,749
2-Tridecanone,,0.0,no_match,646
Pentadecane,,0.0,no_match,863
Pentadecane,,0.0,no_match,910
8-Heptadecene,,0.0,no_match,795
β-Bisabolene,,0.0,no_match,872
"cis-muurola-4(14),5-diene",,0.0,no_match,720
2-Tridecanol,,0.0,no_match,745
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",,0.0,no_match,849
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",,0.0,no_match,893
cis-Calamenene,,0.0,no_match,813
cis-Calamenene,,0.0,no_match,742
(Z)-1-Methyl-4-(6-methylhept-5-en-2-ylidene)cyclohex-1-ene,,0.0,no_match,794
"2(4H)-Benzofuranone, 5,6,7,7a-tetrahydro-4,4,7a-trimethyl-, (R)-",,0.0,no_match,573
2-Tetradecanone,,0.0,no_match,746
2-Tetradecanone,,0.0,no_match,727
2-Tetradecanone,,0.0,no_match,808
2-Tetradecanone,,0.0,no_match,738
Hexadecane,,0.0,no_match,931
Hexadecane,,0.0,no_match,888
Pentadecane,,0.0,no_match,700
"9-Octadecene, (E)-",,0.0,no_match,762
"(1R,3E,7E,11R)-1,5,5,8-Tetramethyl-12-oxabicyclo[9.1.0]dodeca-3,7-diene",,0.0,no_match,788
"Mercaptoacetic acid, 2TMS derivative",,0.0,no_match,664
"Caryophylla-4(12),8(13)-dien-5α-ol",,0.0,no_match,772
"4-Trifluoromethylbenzoic acid, 6-ethyl-3-octyl ester",,0.0,no_match,527
cis-Z-α-Bisabolene epoxide,,0.0,no_match,674
2-Tetradecanone,,0.0,no_match,736
"6,10-Dodecadien-1-ol, 3,7,11-trimethyl-",,0.0,no_match,552
"2(3H)-Furanone, 5-heptyldihydro-",,0.0,no_match,859
"Tetracontane, 3,5,24-trimethyl-",,0.0,no_match,699
Heptadecane,,0.0,no_match,856
"1,2-Benzenediol, 3,5-bis(1,1-dimethylethyl)-",,0.0,no_match,634
"(1S,3aR,4R,8R,8aS)-1-Isopropyl-3a-methyl-7-methylenedecahydro-4,8-epithioazulene",,0.0,no_match,686
2-Dodecanone,,0.0,no_match,774
"Mercaptoacetic acid, 2TMS derivative",,0.0,no_match,608
"Mercaptoacetic acid, 2TMS derivative",,0.0,no_match,559
2-Tetradecanone,,0.0,no_match,693
"2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",,0.0,no_match,779
"2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",,0.0,no_match,895
"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol",,0.0,no_match,581
"5-Methylsalicylic acid, 2TMS derivative",,0.0,no_match,627
trans-Geranylgeraniol,,0.0,no_match,733
"5-Methylsalicylic acid, 2TMS derivative",,0.0,no_match,595
"Anthra[2,3-b]furo[3,2-d]furan-5,10-dione, 2,3,3a,12a-tetrahydro-2,3a,4,6,9-pentahydroxy-, [2R-(2α,3aβ,12aβ)]-",,0.0,no_match,434
Kaur-16-ene,,0.0,no_match,658
"1,3,5-Trioxepane",,0.0,no_match,538
"2H-Pyran, 2-(7-heptadecynyloxy)tetrahydro-",,0.0,no_match,656
"Ethanone, 1-(4-bromophenyl)-2-(1-naphthylamino)-",,0.0,no_match,558
"Indole-3-propionitrile, α-formamido-",,0.0,no_match,707
"2,6-Diphenylpyridine",,0.0,no_match,724
"Benzenebutanenitrile, γ-oxo-α-phenyl-",,0.0,no_match,635
